Nr,finnkode,tot_pris,kvdmeter_P_B,soverom,rom_ca,etasje,fellesutgifter,bydel_ca,bydel_grov,byggeaar,date_noted
1,200509664,8725170,147,5,7,3,0,Hamna,Tromso,2017,03.12.2020
2,200511988,2666342,36,1,1,2,892,Sentrum,Tromso,1965,03.12.2020
3,200290805,7222273,107,3,4,2,3364,Sentrum,Tromso,2020,03.12.2020
4,200224557,8981450,107,3,4,3,3311,Sentrum,Tromso,2020,03.12.2020
5,200436176,4323546,77,2,3,2,6757,Fagereng,Tromso,2001,03.12.2020
6,198258192,5591374,73,2,3,3,2933,Workinnmarka,Tromso,2003,03.12.2020
7,200410674,8191092,142,3,5,1,0,Tromsdalen,Fastlandet,1959,03.12.2020
8,106780597,13424850,137,3,4,13,5280,Sentrum,Tromso,2020,03.12.2020
9,200330211,5841470,183,4,8,1,0,Guleng,Tromso,1952,03.12.2020
10,200293051,3765653,97,3,4,1,7214,Kroken,Fastlandet,1972,03.12.2020
11,199685339,4408670,144,4,5,1,0,Tromsdalen,Fastlandet,2001,03.12.2020
12,187840424,4049920,83,3,4,2,500,Hamna,Tromso,1995,03.12.2020
13,193123215,11225124,261,6,8,1,0,Midtre Kaldslett,Fastlandet,2011,03.12.2020
14,199919296,3852492,52,2,3,5,2150,Midtre Kaldslett,Fastlandet,2019,03.12.2020
15,199883169,3093981,59,1,2,2,10019,Fagereng,Tromso,2004,03.12.2020
16,169896080,4713020,108,3,4,2,0,Tromsdalen,Fastlandet,1952,03.12.2020
17,200079920,4323979,96,3,4,1,7796,Lunheim,Fastlandet,1981,03.12.2020
18,199908557,4665092,117,5,6,1,0,Guleng,Tromso,1973,03.12.2020
19,199907566,8201392,172,5,6,1,0,Haapet,Tromso,1970,03.12.2020
20,199907457,3493442,50,1,2,1,1804,Workinnmarka,Tromso,2006,03.12.2020
21,199906234,3263494,57,2,3,1,9686,Midtre Kaldslett,Fastlandet,2007,03.12.2020
22,199905815,3178842,52,1,2,1,2700,Sentrum,Tromso,2005,03.12.2020
23,191967084,6049142,176,5,7,1,0,Tromsdalen,Fastlandet,1967,03.12.2020
24,199046687,5074920,103,3,4,1,0,Hamna,Tromso,1992,03.12.2020
25,189561498,6455692,93,3,4,4,1678,Tomasjord,Fastlandet,2019,03.12.2020
26,199883223,5492192,92,3,4,1,0,Tomasjord,Fastlandet,2019,03.12.2020
27,199880841,3332420,49,1,2,1,2821,Strandkanten,Tromso,2015,03.12.2020
28,199868511,4187114,84,3,4,2,7291,Tomasjord,Fastlandet,2005,03.12.2020
29,199863647,2264056,38,1,2,3,9835,Sentrum,Tromso,2008,03.12.2020
30,199650541,2355820,35,1,2,1,655,Workinnmarka,Tromso,1988,03.12.2020
